"Município";"De 0 a 4 anos";"De 5 a 9 anos";"De 10 a 14 anos";"De 15 a 19 anos";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"350010 Adamantina";1799;1898;2025;2046;2519;2791;2576;2455;2424;2596;2582;2298;1921;1560;1202;986;1208;34886
"350020 Adolfo";205;209;221;214;240;292;261;231;249;275;273;267;204;169;109;91;88;3598
"350030 Aguaí";2636;2585;2528;2706;2924;3011;3068;2566;2253;2183;2045;1848;1451;1140;683;563;669;34859
"350040 Águas da Prata";441;460;464;466;546;601;571;522;543;542;622;567;468;358;281;234;319;8005
"350050 Águas de Lindóia";1122;1096;1128;1281;1330;1386;1504;1423;1270;1313;1206;1084;905;725;515;427;556;18271
"350055 Águas de Santa Bárbara";424;398;376;465;439;416;435;402;431;416;384;361;296;253;158;121;156;5931
"350060 Águas de São Pedro";139;156;160;177;206;181;217;219;202;219;251;205;179;186;159;125;178;3159
"350070 Agudos";2633;2543;2515;2783;2986;3121;3022;2806;2618;2363;2199;1971;1642;1143;816;601;665;36427
"350075 Alambari";457;425;441;471;433;453;489;432;345;324;294;294;242;177;122;85;102;5586
"350080 Alfredo Marcondes";199;200;251;239;267;310;257;276;302;300;298;267;226;208;187;128;174;4089
"350090 Altair";327;315;299;329;347;341;385;335;273;266;221;159;129;120;89;54;64;4053
"350100 Altinópolis";983;972;1073;1219;1260;1279;1324;1229;1009;1057;1018;942;840;666;465;337;431;16104
"350110 Alto Alegre";227;236;227;254;281;346;308;264;265;270;306;247;251;209;180;129;145;4145
"350115 Alumínio";1425;1351;1502;1525;1500;1524;1558;1456;1307;1206;999;770;650;457;350;253;205;18038
